Function,ProviderGuid,ProviderSymbol,ReghandleSymbol,WriteFunction,EventDescriptorSymbol,Id,Version,Channel,Level,Opcode,Task,Keyword,ContainingFunction,CallDepth,ExportedCallDepth,CallPath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtDeviceIoControlFile,fae10392-f0af-4ac0-b8ff-9f4d920c3cdf,SecurityMitigationsProviderGuid,EtwSecurityMitigationsRegHandle,EtwWrite,MITIGATION_ENFORCE_PROHIBIT_FSCTL_SYSTEM_CALLS,36,0,16,3,0,18,0x8000000000000000,EtwpTimLogMitigationForProcess,3,0,[NtDeviceIoControlFile->IopXxxControlFile->EtwpTimLogMitigationForProcess],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtFreeVirtualMemory,???,,,_tlgWriteEx,BadPhysicalMemoryMap,-,-,11,5,0,-,0x80,MiLogBadMapper,8,0,[NtFreeVirtualMemory->MmFreeVirtualMemory->MiDeleteEmptyPageTables->MiDeleteEmptyPageTableTail->MiDeletePteRun->FUN_14047426c->MiShowBadMapper->MiLogBadMapper],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtFreeVirtualMemory,???,,PsDispatchIumService,EtwWriteEx,,,,,,,,,PsDispatchIumService,7,0,[NtFreeVirtualMemory->MmFreeVirtualMemory->MiFreeVadRange->MiCanDeleteEnclave->PsRundownVsmEnclave->VslpEnterIumSecureMode->PsDispatchIumService],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtFreeVirtualMemory,???,,,EtwWriteEx,,1291,0,128,0,0,0,0x4200800033000000,MiLogBadMapper,8,0,[NtFreeVirtualMemory->MmFreeVirtualMemory->MiDeleteEmptyPageTables->MiDeleteEmptyPageTableTail->MiDeletePteRun->FUN_14047426c->MiShowBadMapper->MiLogBadMapper],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtFreeVirtualMemory,???,,,EtwWriteEx,,,,,,,,,MiLogBadMapper,8,0,[NtFreeVirtualMemory->MmFreeVirtualMemory->MiDeleteEmptyPageTables->MiDeleteEmptyPageTableTail->MiDeletePteRun->FUN_14047426c->MiShowBadMapper->MiLogBadMapper],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtFsControlFile,c4e507b1-7224-4737-bde0-ced9284e7073,AttackSurfaceMonitor,,_tlgWriteTransfer,Ast.IoctlCalled,-,-,11,5,0,-,0x200000000000,IopXxxControlFile,2,0,[NtFsControlFile->IopXxxControlFile],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtFsControlFile,7614521c-4d0b-4341-bfc9-873082c0f1d3,KernelGeneral,,_tlgWriteTransfer,GenericMitigationForProcess,-,-,11,5,0,-,0x200000000000,EtwpTimLogMitigationForProcess,3,0,[NtFsControlFile->IopXxxControlFile->EtwpTimLogMitigationForProcess],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtFsControlFile,fae10392-f0af-4ac0-b8ff-9f4d920c3cdf,SecurityMitigationsProviderGuid,EtwSecurityMitigationsRegHandle,EtwWrite,MITIGATION_AUDIT_PROHIBIT_FSCTL_SYSTEM_CALLS,35,0,16,0,0,18,0x8000000000000000,EtwpTimLogMitigationForProcess,3,0,[NtFsControlFile->IopXxxControlFile->EtwpTimLogMitigationForProcess],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtFsControlFile,fae10392-f0af-4ac0-b8ff-9f4d920c3cdf,SecurityMitigationsProviderGuid,EtwSecurityMitigationsRegHandle,EtwWrite,MITIGATION_ENFORCE_PROHIBIT_FSCTL_SYSTEM_CALLS,36,0,16,3,0,18,0x8000000000000000,EtwpTimLogMitigationForProcess,3,0,[NtFsControlFile->IopXxxControlFile->EtwpTimLogMitigationForProcess],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtGetEnvironmentVariableEx,a9fdf37b-d72d-4051-a3cd-d422103ce079,Microsoft.Windows.Kernel.SysEnv,,_tlgWriteTransfer,GetVariable,-,-,11,5,0,-,0x200000000000,IoGetEnvironmentVariableEx,2,0,[NtGetEnvironmentVariableEx->IoGetEnvironmentVariableEx],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtLockFile,???,,PsDispatchIumService,EtwWriteEx,,,,,,,,,PsDispatchIumService,9,1,[NtLockFile->FUN_1407253e0->IoSetIoCompletionEx2->IopAllocateMiniCompletionPacket->ExAllocatePool3->FUN_140aacf3c->VslSecurePoolAllocate->VslpEnterIumSecureMode->PsDispatchIumService],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtMapViewOfSection,7614521c-4d0b-4341-bfc9-873082c0f1d3,KernelGeneral,,_tlgWriteTransfer,GenericMitigationForProcess,-,-,11,5,0,-,0x200000000000,EtwpTimLogMitigationForProcess,6,0,[NtMapViewOfSection->MiMapViewOfSection->MiMapViewOfImageSection->MiArbitraryCodeBlocked->EtwTimLogProhibitDynamicCode->EtwpTimLogMitigationForProcess],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtMapViewOfSection,22fb2cd6-0e7b-422b-a0c7-2fad1fd0e716,PsProvGuid,EtwpPsProvRegHandle,EtwWriteEx,ImageLoad,5,0,16,4,0,5,0x8000000000000040,EtwpPsProvTraceImage,6,0,[NtMapViewOfSection->MiMapViewOfSection->MiMapViewOfImageSection->PsCallImageNotifyRoutines->PerfLogImageLoad->EtwpPsProvTraceImage],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtMapViewOfSection,22fb2cd6-0e7b-422b-a0c7-2fad1fd0e716,PsProvGuid,EtwpPsProvRegHandle,EtwWriteEx,ImageUnload,6,0,16,4,0,6,0x8000000000000040,EtwpPsProvTraceImage,6,0,[NtMapViewOfSection->MiMapViewOfSection->MiMapViewOfImageSection->PsCallImageNotifyRoutines->PerfLogImageLoad->EtwpPsProvTraceImage],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtMapViewOfSection,d1d93ef7-e1f2-4f45-9943-03d245fe6c00,MemoryProvGuid,EtwpMemoryProvRegHandle,EtwWriteEx,KERNEL_MEM_EVENT_ACG,8,0,16,4,0,6,0x8000000000000100,EtwTraceMemoryAcg,5,0,[NtMapViewOfSection->MiMapViewOfSection->MiMapViewOfImageSection->MiArbitraryCodeBlocked->EtwTraceMemoryAcg],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtMapViewOfSection,fae10392-f0af-4ac0-b8ff-9f4d920c3cdf,SecurityMitigationsProviderGuid,EtwSecurityMitigationsRegHandle,EtwWrite,MITIGATION_AUDIT_PROHIBIT_DYNAMIC_CODE,1,0,16,0,0,1,0x8000000000000000,EtwpTimLogMitigationForProcess,6,0,[NtMapViewOfSection->MiMapViewOfSection->MiMapViewOfImageSection->MiArbitraryCodeBlocked->EtwTimLogProhibitDynamicCode->EtwpTimLogMitigationForProcess],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtMapViewOfSection,fae10392-f0af-4ac0-b8ff-9f4d920c3cdf,SecurityMitigationsProviderGuid,EtwSecurityMitigationsRegHandle,EtwWrite,MITIGATION_AUDIT_PROHIBIT_LOWIL_IMAGE_MAP,5,0,16,0,0,4,0x8000000000000000,EtwTimLogProhibitLowILImageMap,6,0,[NtMapViewOfSection->MiMapViewOfSection->MiMapViewOfImageSection->MiAllowImageMap->FUN_1408e13ac->EtwTimLogProhibitLowILImageMap],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtMapViewOfSection,fae10392-f0af-4ac0-b8ff-9f4d920c3cdf,SecurityMitigationsProviderGuid,EtwSecurityMitigationsRegHandle,EtwWrite,MITIGATION_ENFORCE_PROHIBIT_DYNAMIC_CODE,2,0,16,3,0,1,0x8000000000000000,EtwpTimLogMitigationForProcess,6,0,[NtMapViewOfSection->MiMapViewOfSection->MiMapViewOfImageSection->MiArbitraryCodeBlocked->EtwTimLogProhibitDynamicCode->EtwpTimLogMitigationForProcess],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtMapViewOfSection,fae10392-f0af-4ac0-b8ff-9f4d920c3cdf,SecurityMitigationsProviderGuid,EtwSecurityMitigationsRegHandle,EtwWrite,MITIGATION_ENFORCE_PROHIBIT_LOWIL_IMAGE_MAP,6,0,16,3,0,4,0x8000000000000000,EtwTimLogProhibitLowILImageMap,6,0,[NtMapViewOfSection->MiMapViewOfSection->MiMapViewOfImageSection->MiAllowImageMap->FUN_1408e13ac->EtwTimLogProhibitLowILImageMap],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtMapViewOfSection,f4e1897c-bb5d-5668-f1d8-040f4d8dd344,ThreatIntProviderGuid,EtwThreatIntProvRegHandle,EtwWrite,,29888,1,64,1,0,0,0x140017490,EtwTiLogMapExecView,2,0,[NtMapViewOfSection->EtwTiLogMapExecView],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtMapViewOfSection,f4e1897c-bb5d-5668-f1d8-040f4d8dd344,ThreatIntProviderGuid,EtwThreatIntProvRegHandle,EtwWrite,,29840,1,64,1,0,0,0x1400174b0,EtwTiLogMapExecView,2,0,[NtMapViewOfSection->EtwTiLogMapExecView],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtOpenFile,abf1f586-2e50-4ba8-928d-49044e6f0db7,IoMgrProvider,IoMgrProvider_Context,EtwWriteEx,IoMgr_MountFailed,3,0,16,3,2,1,0x8000000000000001,McGenEventWrite_EtwWriteTransfer,9,1,[NtOpenFile->IopCreateFile->ObOpenObjectByNameEx->ObpLookupObjectName->IopParseDevice->IopCheckVpbMounted->IopMountVolume->McTemplateK0jhzr1d_EtwWriteTransfer->McGenEventWrite_EtwWriteTransfer],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtOpenProcess,e02a841c-75a3-4fa7-afc8-ae09cf9b7f23,KernelAuditApiCallsGuid,EtwApiCallsProvRegHandle,EtwWrite,KERNEL_AUDIT_API_OPENPROCESS,5,0,0,4,0,0,0x0,PsOpenProcess,3,0,[NtOpenProcess->PsOpenProcess->FUN_140702376],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtOpenProcess,c59673d8-b796-58df-fbf8-a70bad656dca,Microsoft.Windows.Kernel.ProcessSubsystem,,_tlgWriteTransfer,ProcessOpenFailedForForcedAccessCheck,-,-,11,5,0,-,0x400000000000,PsOpenProcess,3,0,[NtOpenProcess->PsOpenProcess->FUN_1408ca6e2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
